names,full_names
AAPL,Apple Inc. Common Stock
MSFT,Microsoft Corporation Common Stock
AMZN,"Amazon.com, Inc. Common Stock"
GOOG,Alphabet Inc. Class C Capital Stock
GOOGL,Alphabet Inc. Class A Common Stock
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share
FB,"Facebook, Inc. Class A Common Stock"
TCEHY,Tencent Holdings Ltd. ADR
BRK-B,Berkshire Hathaway Inc.
BRK-A,Berkshire Hathaway Inc.
V,Visa Inc.
TSM,Taiwan Semiconductor Manufacturing Company Ltd.
TSLA,"Tesla, Inc. Common Stock"
JNJ,Johnson & Johnson Common Stock
WMT,Walmart Inc. Common Stock
NSRGY,Nestle SA ADR (Sponsored) Reg Shs Ser B
NSRGF,Nestle S.A Reg Ord
PG,Procter & Gamble Company (The) Common Stock
MA,Mastercard Incorporated Common Stock
RHHBY,Roche Holding Ltd ADR (Sponsored)
JPM,JP Morgan Chase & Co. Common Stock
HD,"Home Depot, Inc. (The) Common Stock"
NVDA,NVIDIA Corporation Common Stock
UNH,UnitedHealth Group Incorporated Common Stock (DE)
VZ,Verizon Communications Inc. Common Stock
LVMUY,LVMH Moet Hennessy Louis Vuitton ADR
DIS,Walt Disney Company (The) Common Stock
CRM,Salesforce.com Inc Common Stock
ADBE,Adobe Inc. Common Stock
BAC,Bank of America Corporation Common Stock
KO,Coca-Cola Company (The) Common Stock
MRK,"Merck & Company, Inc. Common Stock (new)"
INTC,Intel Corporation Common Stock
T,AT&T Inc.
NFLX,"Netflix, Inc. Common Stock"
CMCSA,Comcast Corporation Class A Common Stock
PYPL,"PayPal Holdings, Inc. Common Stock"
NVS,Novartis AG Common Stock
PFE,"Pfizer, Inc. Common Stock"
